,ALTA1G_7_B1,BIGCRK3_2_B1,C493GEN_7_N003,CUYAMAGN_7_N001,IBM-CTLE_1_N002,JESSUP_1_GN001,KANAKAJT_1_B1,KEARNY_7_GNU1N,LBEACH1G_7_N001,MECCTG2_7_B2,MILPITAS_1_N001,REDMGEN_7_N003,RENFRO_1_N001,SHELL3_7_B2,SPIJCT_6_B1,TOT210S1_7_N002,TULLOCH_7_B2,VACA-DIX_1_B1,WISE1_7_B1
613,20.1286,20.44405,19.13294,18.71775,32.03745,22.01071,22.44562,19.84904,20.21146,32.69016,29.49302,19.10096,19.15873,25.57401,23.20991,18.30493,22.54837,23.24857,22.82327
614,23.67412,23.18374,22.67595,22.15477,32.27465,25.28201,25.72095,23.51794,23.84075,32.6706,30.87099,22.51951,22.65867,28.32368,26.43743,21.72551,25.75258,26.25996,26.14657
615,37.19284,37.52341,36.29339,35.59381,39.34538,37.9001,38.50358,37.73098,37.93854,39.1186,40.364,36.41254,36.23188,40.62153,39.19163,35.05183,38.00773,38.60737,38.59199
616,57.72107,57.48007,55.29379,54.10024,57.55466,55.04705,54.3355,57.23906,57.03248,57.2448,59.02366,56.39554,55.15034,59.31057,57.26201,53.83628,55.12738,56.67097,56.54473
617,75.6673,74.76889,70.88566,70.73716,74.69464,70.72231,69.43037,73.66258,73.48438,74.18232,76.93696,73.79622,71.33858,76.36524,72.94978,69.00715,70.93763,73.03146,71.84347
618,73.81489,73.49446,69.43086,69.05217,73.15947,69.30705,69.76752,72.17634,72.03069,72.65698,75.27866,72.40938,69.88237,74.94367,73.92819,67.53014,69.84595,71.60831,71.71021
619,68.02836,66.94358,63.82899,63.48293,66.37789,63.23669,62.23843,66.22483,66.02517,66.05179,68.25463,66.85041,64.17506,68.01505,65.38628,62.18519,63.93547,65.10677,64.40133
620,65.82223,65.26375,62.57528,61.93238,65.03647,62.05576,61.0622,64.76372,64.36759,64.64683,66.64046,64.7832,62.67268,66.78333,64.51695,60.9453,62.89997,63.88055,63.78964
621,58.0391,56.97118,55.4007,54.8182,56.97118,54.66401,55.58345,57.26243,56.87981,56.67422,58.26754,57.32525,55.33788,58.27896,56.60569,54.03011,54.80678,56.09171,56.00605
622,54.31918,50.59745,51.77946,51.2204,52.91355,51.08729,51.86465,53.49391,53.28093,52.68993,54.04764,53.47261,51.71025,53.89324,52.6846,50.64005,52.24268,52.10957,52.15749
623,49.35916,46.03337,47.52925,46.52716,47.81971,46.32867,46.98705,49.07838,48.73951,47.64059,48.75887,48.57975,47.12744,48.47809,47.73741,46.32867,47.17101,47.10324,47.35497
624,63.21809,60.48795,60.50669,59.60706,62.5746,60.67538,61.06897,64.12875,62.11229,62.28722,64.11148,62.25598,60.46296,63.83659,62.19351,59.07602,61.63748,61.60625,62.41842
625,46.75214,44.52738,44.84914,44.26077,45.73628,44.72043,45.033,46.15917,45.91555,45.58,46.68778,46.00289,44.78479,46.43037,45.69492,43.99417,44.88132,45.18009,45.53403
626,46.51672,44.35999,44.88311,44.31869,45.57602,44.56189,44.8877,46.16798,45.911,45.42,46.4846,46.00737,44.79592,46.28728,45.56225,44.05712,44.8464,45.00242,45.58979
627,46.67163,44.53449,45.0872,44.47462,45.72282,44.58516,45.06417,46.36304,46.04062,45.58464,46.63479,46.24328,44.95824,46.44134,45.74585,44.2305,45.05035,45.15168,45.6307
628,48.50953,46.31341,46.60812,46.0282,47.0502,45.70971,46.19932,47.9391,47.61111,46.87907,48.00565,48.0009,46.45126,47.70143,46.93612,45.62415,46.31341,46.38471,46.60812
629,58.49546,56.09004,56.21664,55.48581,57.16615,55.48581,54.46149,58.00632,57.41935,56.92446,58.44367,57.83944,56.06702,58.06386,56.93596,54.93337,55.9807,56.2972,56.59069
630,77.0388,73.48037,72.36978,72.10535,75.28603,72.67954,70.73789,77.09168,75.09715,74.90072,77.08413,75.33136,72.95152,76.94814,74.39453,71.10053,73.48793,74.08478,74.00922
631,65.74694,65.83581,64.72212,65.8149,65.76785,65.75217,70.72413,69.15832,65.95082,65.76785,65.76785,65.83581,65.8149,65.76785,69.49577,65.57965,65.76785,65.76262,61.35991
632,47.64321,45.93937,34.35766,45.26138,50.6446,47.98241,51.50914,56.19013,48.31667,50.2206,52.15107,46.35838,46.08944,51.97149,50.44165,42.29643,49.83151,49.32156,49.5027
633,39.84769,39.63749,16.46736,38.36866,46.68029,42.62942,45.43249,55.51492,42.14569,46.54541,47.37083,39.11811,39.14459,46.71521,44.79978,34.04913,43.55973,44.12039,44.4361
634,35.63057,35.97351,15.18389,34.078,41.2396,38.26812,40.24079,49.4593,37.6052,41.1938,42.00693,36.00112,34.79581,41.38538,39.84136,30.38574,38.38318,39.36129,39.32457
635,29.50382,29.95268,8.98,28.42096,44.99876,32.3242,34.1692,44.03983,31.77121,45.74,42.07892,29.25484,29.0301,37.27339,33.90805,25.00383,32.91303,34.16585,33.23532
636,28.69218,29.47837,9.82898,27.50654,31.36527,30.28019,31.65466,41.74781,30.43178,31.2072,32.34215,28.25806,28.01869,32.40221,31.34559,24.27061,30.57175,31.02967,30.69544
637,26.37042,26.44277,11.01916,25.06881,31.12982,27.69158,29.02977,36.74045,27.54259,31.17596,31.15091,26.39828,25.50539,30.41692,28.82487,22.45609,28.3996,28.54218,28.26264
